고객번호,성별,연령대,거주지역,경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수,A제휴사구매비율(%),B제휴사구매비율(%),C제휴사구매비율(%),D번제휴사구매비율(%),A_구매횟수,B_구매횟수,C_구매횟수,D_구매횟수,A_총구매액,B_총구매액,C_총구매액,D_총구매액,분기증감확인
8129,0,2,1,0,1,28,20.4,64.68,0,14.91,1492,39,0,21,2,9,9,8,10.6,10.17,9.97,10.94,18.24,10.39,19.58,10.1,8,5,6,8,4,6,4,6,139,247,230,138,185,245,188,180,75.01,17.17,7.82,0,15,1524,13,0,8,1,6,9,1
8130,0,2,1,9,1,41,1.23,21.33,72.05,5.39,1242,307,17,32,1,1,1,2,19.52,11.73,9.67,14.08,19.48,10.33,7.46,7.71,1,1,2,1,1,2,2,2,166,208,184,230,239,205,184,182,79.9,14.97,0,5.13,1346,244,0,8,1,5,10,1,0
8131,0,2,1,0,0,8,7.04,42.35,0,50.62,1133,117,0,44,8,6,9,2,10.58,13.16,8.61,15.75,9.81,12.48,14.33,15.27,6,5,8,5,9,9,9,7,197,215,239,169,121,111,122,120,45.3,8.83,0,45.87,64,1229,0,1,6,3,10,1,0
8132,1,2,0,0,1,37,4.76,19.26,64.7,11.28,1180,143,1,158,7,6,5,1,17.61,10.34,10.2,12.19,15.59,10.91,11.53,11.62,4,8,9,6,5,7,9,8,213,166,173,207,212,209,164,138,70.39,21.03,8.58,0,27,1303,152,0,8,2,4,9,0
8133,0,2,0,0,0,23,3.66,8.39,80.46,7.49,1109,130,7,77,1,6,2,1,11.31,10.86,11.22,14.41,8.99,10.08,24.62,8.52,6,6,7,3,5,4,2,4,103,107,98,182,167,193,246,227,89.41,9.19,1.4,0,20,1295,8,0,6,1,8,9,1
8134,0,2,1,0,1,0,2.87,93.65,0,3.48,330,275,0,105,9,1,9,2,8.4,10.8,7.35,15.04,8.99,11.82,10.44,27.17,1,1,1,1,1,1,1,1,81,149,128,94,87,73,58,40,90.64,3.71,5.66,0,368,341,1,0,1,5,8,9,1
8135,0,2,0,13,1,0,7.14,53.95,29.76,9.15,667,248,2,157,6,3,5,1,6.52,10.11,7.68,8.1,10.36,20.61,24.83,11.79,4,3,5,4,4,2,2,3,155,153,124,142,121,120,107,152,75.9,19.12,4.98,0,695,360,19,0,3,5,6,9,1
8136,0,2,0,0,0,3,0.96,8.3,88.99,1.75,565,180,2,96,3,3,2,1,12.91,14.74,10.88,13.34,15.83,13.54,10.94,7.82,2,2,2,2,2,2,3,4,109,124,122,95,92,133,91,77,60.34,27.92,0,11.74,798,43,0,2,2,6,10,2,0
8137,0,2,0,0,2,0,6.82,72.81,0,20.37,1843,16,0,7,6,9,9,9,11.37,12.37,12.37,10.94,11.77,12.53,17.91,10.74,9,9,8,9,10,8,7,9,194,232,284,204,195,275,279,203,96.49,2.43,1.08,0,1,84,1781,0,9,7,2,9,0
8138,0,2,0,1,0,0,3.82,16.92,72.14,7.12,1149,162,3,28,1,4,3,4,5.67,4.68,13.91,5.63,7.17,6.95,17.76,38.23,3,4,2,3,2,3,5,4,236,221,144,229,271,181,39,21,76.07,14.69,9.24,0,136,1185,21,0,5,1,5,9,0
8139,0,2,1,0,0,0,12.63,87.37,0,0,2069,7,0,0,5,10,9,10,12.23,15.47,13.51,10.45,10.9,12.37,14.98,10.09,9,8,9,9,9,8,7,9,224,241,248,264,273,287,301,238,94.35,1.83,3.82,0,1,3,2072,0,10,10,1,9,0
8140,1,2,0,3,0,0,0.38,9.42,89.67,0.53,2685,182,6,55,1,3,1,6,34.38,9.36,9.56,18.8,7.81,5.59,8.14,6.36,1,3,3,2,3,4,4,4,398,321,391,374,390,413,317,324,92.72,2.95,4.33,0,198,2691,39,0,3,1,4,9,0
8141,0,2,1,0,1,6,0.67,6.23,91.47,1.62,1259,266,2,47,6,4,3,5,9.65,26.2,12.83,10.82,8.91,14.51,6.97,10.12,5,2,4,5,4,4,6,4,149,168,178,173,297,197,227,185,90.94,7.68,1.38,0,140,1430,4,0,4,2,9,9,1
8142,1,2,1,0,0,0,5.14,52.32,0,42.54,1363,68,0,15,9,7,9,6,15.22,13.79,19.98,7.56,14.18,9.84,11.58,7.84,8,8,8,10,9,9,9,10,160,196,173,133,157,253,227,147,72.62,20.34,7.03,0,89,134,1223,0,6,6,3,9,0
8143,0,2,0,0,0,0,11.38,45.51,0,43.11,1724,50,0,12,6,9,9,8,12.34,15.33,15.65,10.3,10.68,13.36,12.68,9.66,8,7,8,9,9,9,9,9,223,227,222,237,264,205,225,183,71.68,22.77,5.55,0,1,1780,5,0,10,3,9,9,0
8144,0,2,0,0,1,32,10.08,72.12,0,17.8,1726,99,0,40,4,6,9,6,14.35,11.87,11.23,11.68,18.23,11.4,10.95,10.29,6,5,7,6,6,7,8,5,183,293,237,230,172,236,225,289,80.22,11.91,7.87,0,63,1800,2,0,6,2,9,9,1
8145,0,2,0,0,0,0,5.15,42.12,0,52.72,1389,39,0,4,8,8,9,8,14.21,11.69,10.26,7.59,13.17,12.57,14.36,16.16,8,9,9,10,10,10,9,9,197,182,292,198,93,156,215,99,77.19,17.15,5.66,0,7,175,1250,0,9,6,2,9,0
8146,1,2,0,0,0,0,11.98,61.49,26.53,0,2660,25,1,0,4,10,6,10,14.14,14.21,13.42,9.64,12.24,12.62,12.81,10.92,6,7,8,9,9,9,9,8,438,363,351,342,307,273,302,310,94.92,3.24,1.84,0,1,169,2516,0,9,7,1,9,0
8147,0,2,0,0,0,46,18.64,32.98,35.13,13.25,1352,97,1,54,1,7,5,5,10.77,15.47,14.85,10.68,13.38,10.42,10.9,13.54,4,4,4,4,5,4,4,4,178,136,171,228,137,231,250,173,28.72,44.56,12.29,14.43,1,1477,25,1,10,1,5,2,1
8148,0,2,1,1,0,0,1.5,19.19,78,1.3,329,334,70,67,9,1,1,4,5.84,10.71,9.28,15.43,12.63,12.64,12.92,20.56,5,1,1,1,1,1,1,1,33,83,126,146,97,115,77,123,94.66,3.37,1.97,0,600,165,35,0,1,6,5,9,1
8149,0,2,1,0,0,2,4.76,72.85,0,22.38,1443,33,0,39,6,7,9,4,11.12,14.38,12.36,11.14,10.87,11.61,12.42,16.11,8,6,8,7,9,8,9,5,183,226,170,230,160,202,166,178,79.18,14.86,5.96,0,83,1391,41,0,6,3,6,9,1
8150,0,2,1,11,1,1,3.91,39.54,49.94,6.61,855,232,2,57,5,3,4,3,13.9,13.44,16.69,14.6,11.7,11.01,11.43,7.22,3,3,4,2,3,3,3,4,116,128,83,154,168,179,159,159,69.55,8.73,3.09,18.63,518,552,19,57,3,5,6,1,0
8151,0,2,0,0,0,0,7.63,71.49,0,20.89,1286,163,0,47,5,4,9,4,14.25,10.18,11.68,10.71,14.91,16.32,9.16,12.8,4,5,6,5,5,3,5,5,158,205,150,176,156,264,260,127,64.25,23.17,12.59,0,813,8,675,0,4,9,3,9,0
8152,0,2,1,2,0,0,0.78,12.98,84.18,2.06,699,134,6,41,7,3,2,3,3.85,3.44,5.12,4.04,5.49,22.57,52.36,3.13,9,5,4,4,5,1,1,5,53,135,143,169,99,101,47,133,87.3,6.66,6.04,0,352,58,470,0,3,8,3,9,1
8153,0,2,0,0,1,0,3.11,13.96,0,82.94,2357,24,0,11,3,10,9,2,9.66,19.2,13.87,9.83,9.95,13.02,12.07,12.4,7,4,7,7,8,7,7,7,305,369,291,347,288,271,306,215,55.49,37.07,7.44,0,11,130,2251,0,9,5,1,9,0
8154,1,2,0,2,0,0,3.53,83.78,8.04,4.65,200,305,5,4,10,1,4,9,0.97,2.69,1.96,9.7,23.82,19.59,22.66,18.62,10,6,9,1,1,1,1,1,25,37,27,74,85,85,78,103,88.14,10.22,1.64,0,504,2,8,0,1,9,7,9,1
8155,0,2,0,0,1,0,9.77,70.9,0,19.32,1105,74,0,122,9,7,9,3,15.11,13.77,13.59,8.84,10.52,14.94,9.79,13.42,4,5,5,10,10,10,10,10,381,365,369,100,25,47,7,7,86.51,8.84,4.65,0,5,1285,11,0,9,3,7,9,0
8156,0,2,1,0,1,1,0.54,12.11,86.12,1.24,510,210,16,31,9,2,1,5,29.46,8.47,5.47,6.89,21.32,11.38,13.7,3.3,1,2,4,2,1,2,1,9,99,99,77,130,119,85,130,28,94.47,5.53,0,0,623,144,0,0,2,7,10,9,0
8157,1,2,1,0,0,2,1.42,52.92,43.52,2.13,592,268,8,30,5,1,2,5,24.64,13.5,6.3,12.57,15.9,13.78,5.52,7.8,1,1,1,1,1,1,2,1,90,124,126,101,128,134,87,108,91.26,5.48,3.26,0,708,10,180,0,1,9,3,9,0
8158,0,2,0,0,0,0,3.04,83.61,0,13.35,3789,2,0,4,4,10,9,9,11.67,12.77,12.14,11.51,12.33,14.51,14.35,10.71,8,7,8,7,9,7,7,7,405,492,528,507,362,487,539,475,36.72,54.56,8.72,0,20,2,3773,0,9,10,1,9,1
8159,0,2,1,0,0,28,2.41,15.4,77.07,5.12,192,350,15,70,9,2,1,1,11.81,12.72,11.27,9.1,11.65,13.78,12.11,17.56,2,2,2,2,2,2,1,1,60,69,71,79,66,76,106,100,67.33,30.88,0,1.78,575,51,0,1,2,5,10,2,1
8160,1,2,1,9,1,0,8.72,74.56,0,16.72,2137,19,0,1,2,9,9,10,13.67,10.49,13.23,14.06,11.79,11.84,13.52,11.39,5,6,7,6,8,7,6,6,303,316,242,222,225,259,307,283,80.38,8.63,11,0,21,3,2133,0,8,10,1,9,0
8161,1,2,0,0,0,2,0.48,28.72,70.2,0.6,225,579,11,43,9,1,1,3,9.72,0.25,8.47,11.09,17.9,12.19,26.47,13.93,1,9,1,1,1,1,1,1,110,56,85,86,131,160,111,119,98.78,1,0.22,0,705,152,1,0,1,6,9,9,1
8162,0,2,0,0,0,0,7.78,76.76,0,15.46,2925,21,0,1,4,9,9,10,14.21,13.51,13.06,12.66,12.44,11.17,14.28,8.68,7,7,7,8,8,8,8,8,304,376,434,339,342,444,332,376,55.48,37.8,6.72,0,16,13,2918,0,8,8,1,9,0
8163,0,2,0,0,1,5,0.06,1.49,98.38,0.06,2946,130,5,101,2,4,1,5,23.32,2.66,23.05,14.58,12.17,15.33,5.7,3.18,1,7,1,1,1,1,3,4,382,317,296,378,467,409,490,443,97.85,1.3,0.84,0,173,3005,4,0,2,2,8,9,0
8164,0,2,1,0,0,1,9.08,62.53,0,28.39,1273,164,0,106,5,5,9,1,19.79,8.97,10.19,9.11,10.61,10.82,11.52,19,4,6,5,5,4,6,7,3,152,193,217,216,254,192,152,167,76.8,14.89,8.31,0,149,1330,64,0,5,2,4,9,1
8165,0,2,1,0,1,27,11.71,62.13,0,26.16,717,151,0,22,9,6,9,7,11.34,10.04,15.12,16.31,12.68,10.3,14.8,9.4,8,10,8,6,7,8,8,8,97,73,95,128,149,135,101,112,93.33,5.73,0.95,0,7,874,9,0,7,3,8,9,0
8166,1,2,0,0,0,0,1.88,18.21,77.23,2.68,162,355,5,10,8,1,1,5,18.45,15.62,5.78,14.52,13.93,14.62,8.86,8.22,1,1,3,1,1,1,2,1,86,76,41,70,34,120,43,62,96.48,2.56,0.96,0,447,68,17,0,1,7,6,9,0
8167,0,2,1,0,2,8,19.03,70.54,0,10.43,916,56,0,110,4,7,9,5,9.2,12.69,13.24,13.87,10.82,10.29,18.83,11.08,7,9,6,5,6,7,5,6,138,64,151,141,172,153,143,120,79.37,9.35,11.27,0,11,1069,2,0,7,2,7,9,1
8169,1,2,1,0,2,18,10.35,76.39,0,13.27,1228,124,0,52,4,5,9,5,10.06,9.94,12.05,15.61,27.14,9.72,9.4,6.08,5,6,6,4,2,7,7,8,194,173,157,172,198,161,178,171,85.23,13.13,1.64,0,121,1276,7,0,5,2,9,9,0
8170,0,2,0,2,0,2,1.08,14.1,83.4,1.42,597,193,2,128,6,2,2,1,8.35,21.51,12.31,14.24,12.14,11.42,12.32,7.71,4,2,3,2,3,2,3,3,71,95,90,143,98,179,101,143,73.31,11.57,4.53,10.59,698,183,36,3,2,6,5,1,1
8171,0,2,0,0,1,10,4.27,30.26,55.22,10.25,1301,120,4,130,7,6,4,2,12.03,24.06,12.84,10.96,12.83,9.41,11,6.87,7,7,7,7,5,6,5,6,129,73,158,163,237,238,289,268,92.89,4.63,2.48,0,8,1470,77,0,7,2,4,9,1
8172,0,2,1,0,0,0,2.18,28.09,65.08,4.65,203,288,9,63,10,2,2,2,17.79,14.86,17.51,7.45,13.03,6.51,13.81,9.03,1,2,2,4,2,3,2,3,89,72,63,49,76,78,72,64,89.72,7.63,2.65,0,508,1,54,0,2,10,5,9,0
8173,0,2,0,3,0,0,5.12,85.33,0,9.55,1086,99,0,63,3,4,9,3,9.31,5.61,6.52,21.43,14.52,9.62,10.58,22.4,6,7,7,2,3,4,3,2,91,144,146,158,148,183,206,172,79.73,13.85,6.43,0,656,26,566,0,3,8,3,9,1
8174,1,2,1,2,1,0,0.95,18.54,78.73,1.77,705,343,16,36,6,1,1,4,7.06,7.42,4.05,15.64,14.75,8.39,22.77,19.9,1,1,2,1,1,1,1,1,182,170,231,134,97,152,61,73,95.97,2.79,1.23,0,462,538,100,0,1,5,4,9,1
8175,0,2,0,0,1,0,14.63,57.07,0,28.3,2634,98,0,46,3,8,9,6,10.04,11.62,14.41,10.2,13.39,13.13,16.26,10.93,6,6,5,7,6,7,4,7,368,355,381,324,306,330,426,288,69.22,17.23,13.55,0,9,2756,13,0,9,1,6,9,0
8176,0,2,1,0,0,0,13.4,86.6,0,0,903,14,0,0,8,10,9,10,12.96,10.67,14.08,11.16,13.83,16.61,11.34,9.35,9,9,10,10,10,9,10,10,120,142,119,118,95,127,110,86,79.24,8.42,12.34,0,14,13,890,0,8,9,2,9,0
8177,0,2,0,0,0,0,8.7,50.85,0,40.45,3443,51,0,16,1,8,9,7,10.92,11.55,15.08,13.95,13.45,12.52,12.16,10.39,5,5,5,4,5,5,5,6,448,447,377,514,413,455,483,373,61.76,29.93,8.31,0,3,109,3398,0,10,6,1,9,0
8178,0,2,0,14,0,1,1.77,11.54,83.42,3.27,1696,208,3,61,3,4,3,4,17.8,11.64,14.5,10.94,9.58,11.23,12.69,11.61,3,5,4,5,5,4,4,4,194,187,231,234,281,288,284,269,50.23,14.6,5.46,29.71,748,1192,17,11,4,4,7,1,0
8179,0,2,1,0,0,0,1.07,16.77,80.13,2.03,784,320,15,22,6,2,1,6,26.63,15.28,8.47,7.86,17.18,8.19,6.94,9.45,1,1,2,2,1,3,3,2,126,165,195,152,116,109,125,153,81.59,9.95,2.64,5.81,551,361,224,5,2,5,3,1,0
8180,0,2,1,0,0,18,0.52,13.51,82.88,3.09,3249,167,3,37,3,4,3,4,9.26,11.67,11.31,9.67,16.7,9.74,21.39,10.26,4,3,4,4,3,4,2,3,383,473,448,428,389,444,422,469,89.19,7.71,3.1,0,201,394,2861,0,4,5,1,9,1
8181,0,2,0,7,0,0,6.5,42.12,37.58,13.81,1642,124,2,14,4,6,5,8,14.3,10.32,11.55,10.25,13.65,12.35,18.53,9.04,9,7,6,7,4,5,5,6,80,218,243,199,320,268,199,255,84.49,11.28,4.23,0,39,1737,6,0,6,2,8,9,1
8182,0,2,1,1,0,0,3.6,61.28,0,35.12,3180,18,0,2,2,9,9,9,12.45,10.78,11.9,9.11,15.14,14.8,12.04,13.77,6,6,6,8,7,6,6,6,367,477,521,393,312,375,464,291,76.69,17.61,5.7,0,29,33,3138,0,7,8,1,9,0
8183,0,2,1,0,0,0,48.19,41.13,0,10.67,318,233,0,124,2,5,9,3,6.14,6.66,17.21,10.74,12.79,17.03,14.25,15.17,9,7,3,4,4,3,4,4,54,81,109,93,90,98,78,72,77.97,14.49,7.54,0,557,107,11,0,4,7,7,9,1
8184,0,2,0,0,1,1,5.82,12.22,80.33,1.63,370,347,18,46,1,1,1,1,9.96,6.77,14.36,8.96,21.83,11.09,18.67,8.37,1,1,1,1,1,1,1,1,131,94,136,101,57,94,72,96,92.15,3.61,4.23,0,738,27,16,0,1,8,5,9,0
8185,0,2,1,1,0,0,5.05,42.06,47.42,5.47,490,175,6,207,10,4,3,2,16.97,10.56,17.49,5.41,18.51,12.22,7.51,11.32,6,9,4,7,4,4,7,4,55,52,116,137,86,150,135,147,59.49,12.66,7.09,20.76,484,372,5,17,4,5,8,1,1
8186,0,2,0,0,0,51,3.29,13.48,77.84,5.39,1266,200,1,119,6,6,4,3,10.73,11.39,12.83,13,16.03,14.4,12.01,9.61,9,9,8,8,6,4,5,4,119,126,160,129,167,274,289,322,24.56,52.24,23.21,0,1,1531,54,0,10,2,5,9,1
8187,0,2,0,0,0,0,1.99,56.29,40.41,1.31,572,334,3,72,9,1,3,6,19.51,27.75,17.31,4.62,8.53,9.42,6.28,6.58,1,1,1,2,1,1,1,2,60,65,63,192,145,171,169,116,94.21,3.2,2.6,0,866,51,64,0,1,8,5,9,0
8188,0,2,0,0,0,3,0.78,16.05,81.71,1.46,883,304,4,97,4,1,2,1,6.76,11.15,4.9,11.3,5.23,35.63,7.53,17.5,3,2,5,1,2,1,2,1,129,123,102,195,236,239,154,110,89.68,7,3.31,0,541,711,36,0,1,3,5,9,1
8189,0,2,0,0,1,19,18.2,46.39,0,35.4,1113,102,0,108,9,8,9,3,14.14,12.57,12.58,8.07,12.9,12.23,13.6,13.92,9,8,8,10,10,9,9,8,124,220,211,174,123,185,149,137,79.06,12.36,8.57,0,6,1285,32,0,9,4,5,9,1
8190,1,2,0,8,1,0,2.93,38.34,53.14,5.59,583,182,3,63,3,2,3,1,9.95,7.68,19.53,10.02,28.42,5.87,3.54,14.99,4,5,1,3,1,3,3,1,45,38,78,78,72,135,208,177,76.92,9.53,1.95,11.6,555,272,2,2,2,5,9,1,1
8191,0,2,0,1,0,16,3.25,32.33,59.83,4.6,941,454,1,35,2,1,4,4,13.55,9.74,6.4,8.11,8.75,5.82,37.37,10.25,1,2,2,2,2,3,1,1,175,159,217,151,197,185,141,206,26.69,2.91,70.4,0,955,453,23,0,1,5,2,9,0
8192,1,2,0,10,1,32,15.53,50.03,0,34.43,3286,177,0,94,1,6,9,3,12.82,11.88,14.68,9.71,12.34,13.54,13.03,12,4,4,3,4,4,4,3,6,412,463,459,551,470,457,502,243,85.18,9.16,5.66,0,5,3376,176,0,9,1,4,9,0
8193,1,2,3,0,0,5,1.18,4.66,82.4,11.76,415,161,1,196,6,4,3,1,17.52,16.42,10.89,8.37,7.03,20.06,11.66,8.05,1,1,2,2,3,1,3,3,105,103,94,123,101,92,57,98,86.59,0,3.83,9.58,610,0,137,26,2,10,4,1,0
8194,1,2,0,0,0,0,1.4,17.25,79.49,1.86,199,287,6,29,9,1,1,4,8.12,21.63,31.09,7.37,7.75,10.41,8.15,5.48,5,2,1,3,1,1,1,2,15,20,36,39,88,124,104,95,93.57,4.93,1.5,0,491,19,11,0,1,8,7,9,1
8195,0,2,0,3,0,0,0.25,12.38,85.72,1.64,2146,147,7,15,3,2,1,5,13.75,10.23,6.56,22.95,2.62,5.73,16.61,21.55,2,2,3,1,4,3,2,1,198,221,248,321,509,292,224,302,95.58,3.17,1.25,0,192,5,2118,0,2,9,2,9,1
8196,0,2,1,0,1,39,1.02,6.26,88.88,3.84,1637,220,1,30,5,5,3,5,12.43,11.36,15.34,11.21,10.15,12.79,14.76,11.97,6,7,6,5,7,4,3,5,170,192,172,237,206,327,357,227,87.89,8.97,3.14,0,39,1400,449,0,6,2,3,9,1
8197,0,2,0,3,0,18,7.02,31.69,51.71,9.57,2075,305,6,69,1,4,4,4,17.13,8.65,14.92,10.39,15.12,12.61,11,10.18,3,3,3,3,2,3,4,3,212,385,226,349,402,297,276,308,68.95,23.27,7.79,0,99,1479,877,0,6,1,2,9,0
8198,0,2,1,0,0,0,11.78,65.09,0,23.13,663,116,0,36,7,5,9,4,15.96,15.24,21.12,8.66,10.14,10.18,9.58,9.14,3,4,6,9,9,9,6,5,139,140,67,62,70,76,133,128,20.5,75.83,3.67,0,771,1,43,0,4,9,5,9,0
8199,0,2,0,2,1,0,9.19,37.66,35.02,18.12,472,129,1,196,7,5,5,1,9.49,11.92,9.43,11.06,16.92,13.96,14.63,12.6,3,4,8,5,6,6,4,4,179,143,67,104,49,64,96,96,72.6,20.46,6.93,0,527,224,47,0,4,6,5,9,0
8200,0,2,1,1,0,11,1.97,17.67,77.09,3.27,1373,176,5,97,5,4,3,3,13.24,17,23.88,10.23,7.31,7.77,10.55,10.02,6,6,4,4,5,4,3,4,91,91,105,242,263,320,295,244,32.37,4.81,0,62.82,429,1220,0,2,4,4,10,1,1
8201,0,2,1,0,1,0,0.65,7.26,89.39,2.7,843,309,23,55,7,3,1,2,5.46,5.78,4.59,7.66,18.78,31.74,14.48,11.51,5,4,7,3,1,1,1,1,101,138,102,163,153,137,183,253,76.63,6.75,0,16.62,499,730,0,1,2,4,10,2,1
8202,0,2,0,0,1,0,0.43,6.51,92.6,0.46,417,237,1,71,3,1,2,2,30.39,22.08,9.58,7.58,10.97,5.96,4.87,8.56,1,1,1,2,1,2,4,1,39,142,89,85,76,123,51,121,81.93,15.1,0,2.98,635,78,0,13,1,5,10,1,0
8203,0,2,1,0,0,12,2.33,20.61,74.1,2.97,653,142,9,40,3,3,2,4,26.59,11.18,12.96,13.36,12.23,8.15,10.23,5.29,2,3,3,3,3,2,3,4,53,79,97,89,100,172,120,134,75.65,18.19,6.15,0,693,119,32,0,3,6,5,9,0
8204,0,2,1,0,2,26,1.35,13.35,83.14,2.15,2168,266,2,132,2,4,3,3,17.48,12.98,15.04,10.93,11.42,9.38,12.74,10.02,3,4,3,4,4,5,3,3,276,275,376,244,268,263,441,425,85.85,8.91,5.24,0,311,2254,3,0,4,2,8,9,0
8205,1,2,1,4,1,0,8.2,71.55,0,20.25,2574,169,0,129,1,4,9,1,13.82,20.48,16.02,10.11,9.74,7.47,15.56,6.81,3,2,3,4,4,5,3,5,383,362,301,322,401,402,340,361,84.11,11.21,4.68,0,176,2275,421,0,5,1,3,9,0
8206,1,2,0,0,0,16,24.47,56.73,0,18.8,1109,70,0,9,2,8,9,9,4.06,9.5,43.22,7.62,8.7,7.73,7.94,11.23,10,8,2,7,9,8,9,9,93,147,199,208,123,195,157,66,72.61,24.48,2.92,0,34,1143,11,0,7,2,8,9,1
8207,0,2,0,0,0,0,2.43,18.39,76.89,2.29,383,295,5,173,4,1,2,1,18.54,13.1,10.91,10.13,9.11,20.24,4.41,13.55,1,2,2,1,1,1,5,2,83,61,76,152,170,126,90,98,53.46,5.96,3.4,37.18,641,202,8,5,2,5,6,1,0
8208,1,2,0,1,0,4,10.34,75.94,0,13.73,875,166,0,206,7,5,9,1,6.27,11.71,18.96,20.28,9.85,12.04,12.88,8,9,6,5,5,6,5,4,5,120,123,104,101,149,190,231,229,76.61,20.95,2.44,0,514,730,3,0,5,5,9,9,1
8209,0,2,1,0,1,20,1.03,14.77,81.47,2.73,1634,334,8,109,1,1,1,1,10.4,8.55,9.43,6.06,33.22,14.94,6.73,10.68,1,1,1,2,1,1,2,1,246,275,306,295,206,267,230,260,91.89,5.39,2.72,0,524,1061,500,0,1,2,3,9,1
8210,0,2,0,0,1,0,6.23,75.58,0,18.19,3196,32,0,3,2,8,9,9,2.39,2.29,2.33,2.02,5.68,17.28,45.77,22.25,2,3,3,5,10,10,10,10,1057,842,785,502,29,7,3,6,85.8,7.47,6.73,0,39,14,3178,0,6,9,1,9,0
8211,0,2,0,0,0,0,5.43,47.99,0,46.58,2495,18,0,4,6,10,9,9,11.74,13.03,15.4,11.96,13.16,13.27,12.65,8.79,9,8,7,9,9,8,9,9,300,324,376,313,251,365,301,287,84.49,6.38,2.54,6.59,2,144,2370,1,9,6,2,2,0
8212,0,2,0,2,0,0,0.98,19.3,77.51,2.21,970,160,3,42,6,3,2,5,17.74,12.23,10.46,31.23,7.3,11.38,5.51,4.15,3,3,4,2,4,3,4,5,107,148,112,118,165,157,206,162,73.33,19.01,7.66,0,871,62,242,0,3,7,3,9,0
8213,1,2,0,0,2,0,15.49,61.54,0,22.97,753,96,0,43,9,7,9,6,13.08,12.14,12.2,10.11,24.63,14.2,7.94,5.69,8,7,7,8,6,10,10,10,109,186,215,159,123,93,2,5,78.47,11.26,10.27,0,26,860,6,0,7,4,7,9,0
8214,1,2,1,0,1,2,23.18,9.65,57.01,10.16,595,74,2,426,1,4,2,1,17.28,17.14,14.52,13.93,10.84,11.05,5.61,9.64,1,1,1,1,1,1,1,1,124,186,184,161,116,104,131,91,42.33,57.67,0,0,712,385,0,0,1,1,10,9,0
8215,0,2,1,1,0,0,3.3,44.98,36.49,15.23,306,349,27,26,10,2,2,3,11.09,9.09,8,13.04,14.2,24.05,5.73,14.79,3,3,3,2,2,1,4,2,63,88,99,80,92,127,88,71,88.73,6.86,4.41,0,628,26,54,0,2,8,4,9,1
8216,0,2,1,0,1,3,0.45,12.72,85.42,1.41,1135,174,21,53,3,2,1,2,2.05,21.11,4.84,20.01,3.15,35.9,4.26,8.67,8,1,5,1,6,1,3,2,98,154,110,170,131,284,244,192,91.91,6.21,1.88,0,548,321,514,0,1,5,3,9,1
8217,0,2,1,0,0,0,14.32,70.88,0,14.81,689,97,0,24,8,6,9,8,7.91,16.67,11.92,10.68,18.14,12.05,12.81,9.83,9,8,9,9,6,6,8,6,98,70,73,74,91,158,101,145,50.33,37.66,12.01,0,522,175,113,0,5,6,4,9,1
8218,0,2,1,1,0,0,13.83,71.13,0,15.04,1294,67,0,32,1,6,9,6,10.53,13.45,13.78,13,11.74,13.28,12.88,11.34,6,4,4,4,5,4,6,4,142,203,190,174,152,184,146,202,32.65,54.11,13.24,0,1364,16,13,0,4,8,6,9,1
8219,0,2,0,0,1,7,5.51,67.45,0,27.04,5229,140,0,20,1,5,9,7,15.05,11.72,16.59,9.81,9.24,13.05,12.59,11.96,4,4,3,5,6,4,4,5,625,738,735,656,630,827,650,528,87.56,9.08,3.37,0,68,764,4557,0,6,4,1,9,0
8220,0,2,1,1,0,8,1,29.99,64.25,4.77,1776,347,6,92,2,1,2,1,8.88,15.7,15.51,10.9,15.62,11.38,8.24,13.78,2,1,1,1,1,1,2,1,233,270,233,313,288,317,328,239,88.31,8.91,2.78,0,578,41,1602,0,1,7,2,9,1
8221,0,2,0,0,1,0,4.72,28.08,40.05,27.16,1296,134,3,40,7,6,4,3,13.06,8.29,13.7,13.75,11.6,10.22,15.49,13.89,6,7,6,6,8,9,6,8,202,274,200,189,169,150,183,106,72.81,16.73,10.46,0,2,1468,3,0,10,2,8,9,0
8222,0,2,1,2,1,4,2.91,38.03,53.59,5.47,1562,364,2,87,1,1,3,1,17.13,9.45,23.48,8.69,9.65,7.02,11.32,13.26,1,2,1,2,2,2,1,1,219,251,245,315,241,264,251,229,90.04,8.22,1.74,0,507,1501,7,0,2,1,8,9,0
8223,0,2,1,1,1,15,22.89,61.63,0,15.48,1680,35,0,4,9,10,9,10,12.15,12.69,15.11,11.17,13.63,12.64,12.63,9.98,9,10,10,10,10,10,10,10,242,218,205,137,197,280,253,187,85.88,4.89,9.24,0,2,1706,11,0,10,5,6,9,0
