,°í°´¹øÈ£,¼±_ÃÑ±¸¸Å¾×1,¼±_ÃÑ±¸¸Å¾×2,¼±_ÃÑ±¸¸Å¾×3,¼±_ÃÑ±¸¸Å¾×4,¼±_ÃÑ±¸¸Å¾×5,¼±_ÃÑ±¸¸Å¾×6,¼±_ÃÑ±¸¸Å¾×7,¼±_ÃÑ±¸¸Å¾×8
11092,11239,1,0,1,1,1,3,2,1
11093,11240,2,2,2,2,1,3,2,2
11094,11241,0,2,4,2,2,2,2,2
11095,11242,2,1,1,2,2,2,2,3
11096,11243,3,2,2,2,2,2,1,2
11097,11244,3,2,3,3,2,3,3,2
11098,11245,2,2,1,1,2,2,2,1
11099,11246,2,2,2,1,1,1,1,3
11100,11247,3,3,3,3,3,3,4,4
11101,11248,2,2,2,2,1,2,1,2
11102,11249,4,4,3,4,4,4,4,4
11103,11250,0,1,2,0,0,2,2,1
11104,11251,4,4,4,4,4,4,4,4
11105,11252,1,1,2,2,1,3,3,2
11106,11253,3,2,2,2,3,3,1,2
11107,11254,1,2,2,1,2,2,1,1
11108,11255,2,3,1,3,2,1,2,1
11109,11256,4,4,4,4,4,4,4,4
11110,11258,4,4,4,4,3,3,3,3
11111,11259,1,2,2,1,2,2,2,2
11112,11260,3,3,3,3,3,3,2,3
11113,11261,1,1,1,2,1,1,2,2
11114,11262,4,4,4,4,4,4,4,4
11115,11263,2,2,2,2,2,3,3,2
11116,11264,2,1,2,3,3,2,3,3
11117,11265,3,2,2,2,2,2,2,3
11118,11266,2,2,2,2,1,1,1,1
11119,11267,2,2,3,3,3,3,2,3
11120,11268,1,1,2,1,1,2,1,2
11121,11269,1,1,1,2,1,1,2,2
11122,11270,2,3,3,3,3,3,3,3
11123,11271,1,1,2,1,1,1,1,2
11124,11272,4,4,4,4,4,4,4,4
11125,11273,0,1,1,1,1,1,1,1
11126,11274,1,2,2,1,2,2,2,1
11127,11275,1,1,1,1,2,2,2,2
11128,11276,2,2,1,1,1,2,2,1
11129,11277,1,1,2,1,1,1,1,1
11130,11278,2,3,3,3,3,3,4,3
11131,11279,2,1,1,2,1,1,1,1
11132,11280,1,1,0,0,0,0,0,0
11133,11281,1,1,3,2,3,3,2,3
11134,11282,3,3,2,2,1,4,3,3
11135,11283,1,2,1,1,1,1,1,1
11136,11284,2,1,1,2,1,1,2,2
11137,11285,1,2,0,2,0,2,1,1
11138,11286,2,1,1,2,2,2,1,2
11139,11287,2,1,2,2,2,3,2,2
11140,11288,1,1,1,2,1,2,1,1
11141,11289,2,1,0,1,1,1,1,1
11142,11290,3,4,4,3,4,3,3,1
11143,11291,1,0,1,2,1,2,1,1
11144,11292,1,1,2,1,1,0,1,2
11145,11293,2,2,1,2,3,1,1,1
11146,11294,2,3,3,3,2,3,3,3
11147,11295,1,1,1,1,1,2,2,3
11148,11296,2,2,2,2,2,2,2,1
11149,11297,1,0,0,1,1,1,1,1
11150,11298,0,0,1,0,2,1,0,2
11151,11299,2,2,2,2,2,2,2,3
11152,11300,4,4,3,3,3,3,2,2
11153,11301,3,3,3,3,4,3,3,3
11154,11302,1,3,3,3,3,2,2,3
11155,11303,1,1,2,1,2,1,2,2
11156,11304,2,2,2,2,2,2,2,2
11157,11305,3,3,3,3,3,2,1,3
11158,11306,1,1,1,1,1,0,2,3
11159,11307,4,4,4,4,4,4,4,4
11160,11309,4,4,3,3,4,4,4,4
11161,11310,3,3,3,4,3,4,3,3
11162,11311,4,4,4,3,4,3,4,4
11163,11312,1,1,2,2,2,2,2,1
11164,11313,2,2,2,1,2,1,1,1
11165,11314,3,2,2,3,2,3,3,2
11166,11315,3,1,2,1,2,2,2,2
11167,11316,1,1,1,1,1,1,1,1
11168,11317,4,4,4,4,4,4,4,4
11169,11318,4,4,4,4,3,4,4,4
11170,11319,3,2,3,3,3,3,4,4
11171,11320,4,4,4,4,4,4,4,4
11172,11321,0,3,2,3,0,2,1,0
11173,11322,4,4,4,4,4,4,4,4
11174,11323,2,2,2,2,1,2,2,1
11175,11324,3,2,2,3,3,3,3,3
11176,11325,2,2,2,2,2,2,2,3
11177,11326,2,1,2,2,1,2,2,1
11178,11327,2,2,2,3,2,3,2,3
11179,11328,1,2,1,0,1,2,1,1
11180,11329,4,4,3,4,3,3,3,3
11181,11330,3,3,4,4,3,3,3,3
11182,11331,4,3,4,4,4,4,4,4
11183,11332,2,3,2,2,2,2,2,2
11184,11333,2,2,2,1,3,1,3,2
11185,11334,1,2,0,2,1,3,2,1
11186,11335,2,3,3,3,3,2,2,3
11187,11336,3,1,3,2,3,2,2,3
11188,11337,2,2,2,2,1,1,2,2
11189,11338,2,1,1,2,1,1,1,1
11190,11339,1,2,2,2,1,1,1,1
11191,11340,1,1,1,1,2,3,2,2
11192,11341,0,1,2,1,1,1,2,1
11193,11342,4,4,4,4,4,4,4,4
11194,11343,4,4,3,4,4,4,3,3
11195,11344,3,3,2,1,3,3,2,3
11196,11345,4,4,4,4,4,4,4,4
11197,11346,0,0,0,0,1,1,1,1
11198,11347,1,1,2,1,2,2,2,1
11199,11348,0,1,1,1,1,1,0,1
11200,11349,2,3,2,2,2,2,2,2
11201,11350,3,3,3,4,3,3,3,1
11202,11351,3,2,2,3,2,2,2,2
11203,11352,1,3,3,2,3,3,3,3
11204,11353,3,3,2,4,3,2,1,2
11205,11354,2,2,2,2,2,2,1,2
11206,11355,3,4,4,4,4,4,4,4
11207,11356,1,1,2,1,2,1,2,1
11208,11357,4,4,4,4,4,4,4,4
11209,11358,1,3,2,2,2,2,3,2
11210,11359,2,3,3,2,2,2,2,1
11211,11360,1,1,1,1,1,0,1,1
11212,11361,2,2,3,2,2,2,2,1
11213,11362,3,4,4,4,4,4,4,4
11214,11363,3,2,2,2,2,2,2,2
11215,11364,3,4,3,3,3,4,3,4
11216,11365,3,3,3,3,4,3,3,3
11217,11366,2,3,3,3,2,2,2,2
11218,11367,1,3,3,2,2,2,2,3
11219,11368,3,3,2,3,2,3,3,3
11220,11369,2,2,2,2,1,2,2,1
11221,11370,0,0,0,2,2,1,0,0
11222,11371,3,2,2,2,2,2,2,2
11223,11372,3,1,3,2,2,1,2,2
11224,11373,1,2,1,1,1,0,1,2
11225,11374,2,1,0,0,1,2,0,0
11226,11375,2,3,3,2,2,2,2,2
11227,11376,2,3,2,2,2,2,2,2
11228,11377,2,1,1,2,2,1,2,1
11229,11378,3,3,3,3,3,3,4,3
11230,11379,3,3,2,3,2,4,2,3
11231,11380,3,3,3,3,3,4,4,3
11232,11381,3,3,2,3,2,3,3,3
11233,11382,3,2,3,3,2,4,3,2
11234,11383,3,4,4,4,4,4,4,4
11235,11384,1,0,1,0,0,1,2,1
11236,11385,2,1,1,1,1,1,2,1
11237,11386,2,4,3,4,4,4,4,4
11238,11387,3,1,3,3,2,3,3,3
11239,11388,2,1,1,2,2,1,2,1
11240,11389,3,4,4,3,4,4,4,3
11241,11390,1,1,1,2,2,2,2,2
11242,11391,3,3,3,3,3,3,2,3
11243,11392,4,3,4,4,4,3,4,3
11244,11393,2,2,3,3,2,2,1,3
11245,11394,2,3,3,3,2,3,2,3
11246,11395,1,1,2,2,1,2,2,0
11247,11396,3,3,2,3,1,3,4,3
11248,11397,3,4,4,4,3,4,3,3
11249,11398,2,2,2,2,3,1,2,2
11250,11399,2,3,2,2,1,2,2,2
11251,11400,1,0,0,1,0,0,1,0
11252,11401,2,3,2,2,2,2,2,2
11253,11402,3,3,3,2,2,3,3,3
11254,11403,1,2,2,2,2,1,2,1
11255,11404,3,3,2,3,2,3,1,2
11256,11405,1,1,0,0,1,1,1,2
11257,11406,4,4,4,3,4,4,4,2
11258,11407,1,2,1,2,2,1,1,1
11259,11408,4,4,4,4,4,4,4,4
11260,11409,3,2,3,3,1,2,2,1
11261,11410,2,3,2,2,3,2,2,2
11262,11411,1,2,2,2,2,2,3,2
11263,11412,1,0,1,2,1,2,1,0
11264,11413,3,2,2,2,2,3,3,1
11265,11414,2,2,2,1,2,2,2,1
11266,11415,3,3,2,3,1,3,3,3
11267,11416,2,2,2,2,2,2,3,2
11268,11417,4,4,4,3,3,4,3,2
11269,11418,2,3,2,1,0,1,2,0
11270,11419,2,2,1,2,1,2,3,3
11271,11420,3,4,3,4,4,4,4,4
11272,11421,1,1,2,2,1,2,1,1
11273,11422,3,2,2,2,2,2,3,3
11274,11423,3,4,3,4,2,2,2,1
11275,11424,3,3,3,2,2,3,3,2
11276,11425,1,1,1,1,0,2,0,2
11277,11426,2,2,2,2,2,2,1,2
11278,11427,2,3,3,3,2,3,3,3
11279,11428,3,2,1,0,1,2,2,2
11280,11429,2,1,1,2,1,1,1,2
11281,11430,3,4,4,4,4,4,2,3
11282,11431,1,2,2,1,2,3,2,1
11283,11432,1,1,2,2,1,3,1,1
11284,11433,1,1,1,1,1,1,1,1
11285,11434,3,3,3,3,3,3,2,3
11286,11435,1,3,3,3,3,4,4,4
11287,11436,4,4,4,4,4,4,4,4
11288,11437,1,0,1,2,1,2,1,1
11289,11438,3,3,3,4,3,3,3,3
11290,11439,1,0,0,0,2,2,0,1
11291,11440,4,4,4,4,4,4,3,3
11292,11441,2,3,2,3,3,3,3,3
11293,11442,4,4,4,3,4,4,4,4
11294,11443,4,4,4,4,4,4,4,3
11295,11444,3,2,3,3,3,3,3,3
11296,11445,2,1,2,2,2,1,2,1
11297,11446,2,1,1,1,1,2,1,2
11298,11447,3,3,3,3,3,4,3,4
11299,11448,2,0,1,1,1,1,2,2
11300,11449,3,3,3,4,3,3,4,4
11301,11450,4,4,4,4,4,4,4,4
11302,11451,1,2,1,1,1,1,1,2
11303,11452,1,1,2,1,3,2,2,3
11304,11453,1,1,1,1,2,1,1,1
11305,11454,3,3,3,3,2,3,2,2
11306,11455,2,1,1,1,2,1,2,2
11307,11456,4,3,3,3,4,4,4,3
11308,11457,1,2,2,2,2,1,1,1
11309,11458,3,1,1,2,0,3,1,2
11310,11459,3,3,3,3,3,3,3,3
11311,11460,4,4,4,4,4,4,3,4
11312,11462,2,2,1,2,2,2,1,1
11313,11463,4,4,4,4,4,4,4,4
11314,11464,3,3,4,3,2,3,3,2
11315,11465,3,3,3,3,3,3,3,3
11316,11466,4,3,3,4,3,4,4,4
11317,11467,2,1,1,1,1,1,3,1
11318,11468,2,3,3,3,3,3,2,3
11319,11469,4,4,3,3,4,4,4,4
11320,11470,3,4,3,3,3,3,3,3
11321,11471,2,1,2,2,2,3,1,3
11322,11472,4,4,4,4,4,4,4,4
11323,11473,3,4,4,4,4,4,4,4
11324,11474,3,4,2,3,4,4,4,4
11325,11475,1,1,2,1,1,1,2,1
11326,11476,3,3,3,3,3,3,3,3
11327,11477,4,4,4,4,3,4,4,4
11328,11478,3,3,3,3,3,3,3,4
11329,11479,1,1,2,1,1,2,2,2
11330,11480,2,2,2,2,2,2,3,1
11331,11481,1,0,1,1,1,1,1,1
11332,11482,3,3,3,3,3,4,3,3
11333,11483,3,3,3,3,2,3,3,4
11334,11484,0,1,1,1,0,1,1,0
11335,11485,0,0,0,0,0,0,1,1
11336,11486,3,3,3,3,3,3,2,3
11337,11487,0,1,1,2,1,1,0,1
11338,11488,3,4,4,3,3,3,3,3
11339,11489,2,2,2,3,2,3,2,2
11340,11490,3,3,3,4,3,3,3,2
11341,11491,1,0,1,1,1,1,1,1
11342,11492,3,4,3,4,4,4,4,4
11343,11493,4,4,4,4,4,4,4,4
11344,11494,4,4,3,4,4,4,3,4
11345,11495,0,1,0,2,1,1,0,1
11346,11496,0,1,1,1,1,1,1,1
11347,11497,1,1,2,1,1,1,1,1
11348,11498,4,4,4,4,4,4,4,4
11349,11499,4,4,4,4,4,4,4,3
11350,11500,2,1,2,2,2,1,2,2
11351,11501,3,3,3,4,3,3,4,3
11352,11502,2,2,2,2,2,2,2,1
11353,11503,4,3,4,4,4,3,4,4
11354,11504,3,3,3,3,3,2,3,3
11355,11505,3,2,3,2,2,2,2,2
11356,11506,3,1,3,4,2,3,4,1
11357,11507,2,2,2,2,2,2,2,3
11358,11508,1,0,0,1,0,1,0,0
11359,11509,1,3,0,0,1,1,2,1
11360,11510,1,1,2,1,2,1,2,1
11361,11511,1,1,1,1,1,1,1,0
11362,11512,2,2,1,1,2,1,2,1
11363,11513,2,1,3,2,2,1,2,1
11364,11514,0,0,0,1,0,0,0,1
11365,11515,1,3,2,2,1,1,1,2
11366,11516,0,0,2,2,2,3,2,2
11367,11517,3,1,1,1,2,1,1,2
11368,11518,3,3,3,3,2,3,3,3
11369,11519,2,3,1,2,2,2,3,2
11370,11520,4,4,4,4,4,4,4,4
11371,11521,0,0,0,1,0,2,2,2
11372,11522,2,2,2,1,2,2,2,2
11373,11523,3,2,2,3,2,2,2,1
11374,11524,1,2,2,3,1,1,2,1
11375,11525,3,3,3,3,3,3,4,3
11376,11526,2,1,2,2,2,3,3,2
11377,11527,4,2,3,3,3,2,3,2
11378,11528,4,4,4,4,4,4,4,4
11379,11529,2,2,2,2,2,3,2,2
11380,11530,2,1,1,0,1,1,0,1
11381,11531,2,2,2,2,2,3,2,2
11382,11532,1,1,1,2,2,1,1,1
11383,11533,1,2,1,2,1,1,2,2
11384,11534,0,0,0,1,0,2,0,0
11385,11535,2,3,2,2,2,2,1,1
11386,11536,3,4,4,4,4,4,4,4
11387,11537,3,2,3,3,2,2,3,0
11388,11538,1,2,2,1,2,1,1,2
11389,11539,2,3,2,2,2,2,2,2
11390,11540,3,3,3,3,3,3,3,2
11391,11541,2,2,2,1,0,3,2,3
11392,11543,3,3,4,4,4,4,4,4
11393,11544,3,4,3,3,3,2,0,2
11394,11545,1,1,2,2,3,3,3,3
11395,11546,2,1,2,2,2,1,2,1
11396,11547,3,3,1,2,2,2,1,2
11397,11548,3,2,2,2,1,2,2,3
11398,11549,2,2,2,1,2,1,2,2
11399,11550,1,1,1,1,1,1,1,1
11400,11551,2,3,3,2,1,2,3,2
11401,11552,1,1,0,1,1,0,1,1
11402,11553,2,2,1,2,3,1,1,1
11403,11554,2,2,2,4,2,1,2,3
11404,11555,1,2,1,1,0,2,1,1
11405,11556,4,3,3,3,3,3,3,3
11406,11557,3,3,3,4,3,4,3,4
11407,11558,1,2,2,2,2,3,2,3
11408,11559,1,1,1,0,1,1,2,2
11409,11560,3,3,3,3,3,3,3,3
11410,11561,1,1,1,1,1,1,1,1
11411,11562,1,2,2,2,2,2,2,1
11412,11563,3,3,3,3,3,3,3,4
11413,11564,3,1,1,2,2,2,2,2
11414,11565,1,1,1,1,2,1,2,1
11415,11566,2,1,1,0,1,2,0,1
11416,11567,1,2,2,1,1,3,3,1
11417,11568,2,3,3,2,2,3,2,3
11418,11569,2,2,2,2,2,2,3,2
11419,11570,2,1,2,2,1,3,2,2
11420,11571,3,3,3,3,3,4,3,3
11421,11572,2,2,2,3,2,2,2,1
11422,11573,2,2,2,2,2,2,2,2
11423,11574,2,0,0,2,1,1,1,1
11424,11575,0,1,1,1,1,1,1,1
11425,11577,0,0,1,1,1,1,1,0
11426,11578,2,2,2,2,2,2,2,3
11427,11579,1,1,2,1,1,1,1,1
11428,11580,2,1,1,2,3,2,2,1
11429,11581,1,2,2,3,2,3,2,2
11430,11582,0,2,3,4,3,2,4,4
11431,11583,1,1,1,2,3,1,1,0
11432,11584,3,2,3,2,2,2,1,2
11433,11585,3,4,3,4,3,4,3,3
11434,11586,1,1,1,1,2,1,1,2
11435,11587,1,1,1,1,1,0,0,1
11436,11588,3,2,4,4,3,4,4,4
11437,11589,2,2,3,1,1,2,2,1
11438,11590,3,2,2,3,3,2,3,2
11439,11591,4,4,4,4,4,4,3,3
11440,11592,0,0,2,1,1,2,1,1
11441,11593,2,2,3,3,3,3,3,3
11442,11594,1,1,2,1,1,1,1,0
11443,11595,2,4,3,3,2,3,3,2
11444,11596,1,1,2,2,2,3,3,2
11445,11597,2,2,1,2,1,3,2,1
11446,11598,3,2,2,2,2,3,2,2
11447,11599,1,0,0,1,1,0,0,1
11448,11600,2,2,2,3,2,3,3,2
11449,11601,2,2,2,2,2,2,3,2
11450,11602,1,2,1,1,2,2,2,2
11451,11603,4,4,4,4,4,4,4,4
11452,11604,4,4,4,4,4,4,4,4
11453,11605,2,2,2,1,0,1,1,2
11454,11606,2,4,3,3,3,3,2,3
11455,11607,3,2,1,2,2,3,2,3
11456,11608,1,3,3,4,3,3,2,4
11457,11609,1,1,2,2,2,2,2,1
11458,11610,3,3,3,3,3,3,3,3
11459,11611,1,1,2,1,1,1,1,2
11460,11612,0,1,0,0,0,1,2,2
11461,11613,1,0,1,1,1,0,0,0
11462,11614,3,3,3,2,3,2,2,3
11463,11615,3,3,3,3,3,3,3,3
11464,11616,4,4,4,3,2,4,3,4
11465,11617,2,2,2,1,2,1,2,2
11466,11618,3,3,2,4,3,2,2,3
11467,11619,3,2,2,3,2,1,1,1
11468,11620,2,3,1,2,2,2,1,2
11469,11621,2,4,3,3,4,3,4,4
11470,11622,2,1,2,2,2,2,2,2
11471,11623,0,1,1,3,1,1,1,1
11472,11624,3,3,3,3,2,1,2,2
11473,11625,4,4,4,4,4,3,4,3
11474,11626,2,2,2,2,1,2,2,2
11475,11627,2,2,2,2,1,1,0,2
11476,11628,4,4,4,4,4,4,4,4
11477,11629,3,3,2,2,2,2,2,3
11478,11630,0,2,0,1,0,1,0,1
11479,11632,1,1,1,2,1,2,1,1
11480,11633,0,1,0,0,1,2,0,1
11481,11634,2,2,2,2,1,2,1,0
11482,11635,1,1,2,1,1,0,2,2
11483,11636,2,3,1,2,3,1,0,0
11484,11637,2,2,1,2,2,2,2,2
11485,11638,1,1,1,1,1,1,3,1
11486,11639,3,0,1,2,0,0,0,0
11487,11640,1,2,1,1,2,2,1,1
11488,11641,2,1,0,0,0,1,1,2
11489,11642,3,2,2,3,2,2,2,0
11490,11643,1,1,1,1,0,1,0,0
11491,11644,1,2,2,2,2,2,1,2
11492,11645,0,0,0,0,0,0,0,0
11493,11646,4,3,3,3,3,4,2,3
11494,11647,1,1,1,2,1,1,2,1
11495,11648,0,0,0,1,1,0,0,3
11496,11649,1,1,1,2,1,3,2,1
11497,11650,4,3,3,3,2,2,1,2
11498,11651,2,3,2,3,1,2,3,3
11499,11652,1,1,0,1,1,1,2,1
11500,11653,1,2,1,3,1,0,0,2
11501,11655,2,2,1,2,2,2,2,2
11502,11656,2,1,1,1,1,1,1,1
11503,11657,2,3,3,3,3,4,3,3
11504,11658,2,2,2,2,2,2,2,2
11505,11659,4,3,4,4,3,4,3,4
11506,11660,1,0,1,1,1,1,1,3
11507,11661,1,1,1,1,1,1,1,3
11508,11662,4,4,4,4,4,4,3,4
11509,11663,2,2,2,2,2,2,1,2
11510,11664,2,2,2,0,2,1,2,3
11511,11665,1,2,2,3,2,2,2,3
11512,11666,2,2,2,3,2,1,2,3
11513,11667,2,1,1,2,2,3,2,2
11514,11668,1,1,1,1,1,1,1,1
11515,11669,2,3,2,2,2,2,2,1
11516,11670,4,4,4,4,4,3,3,3
11517,11671,1,0,1,2,2,2,2,2
11518,11672,3,3,3,2,3,3,3,2
11519,11673,2,1,1,2,1,2,1,1
11520,11674,1,1,1,1,1,0,1,0
11521,11675,2,2,2,1,2,1,2,1
11522,11676,1,1,2,2,1,2,2,1
11523,11677,2,2,3,2,3,3,3,3
11524,11678,1,1,1,1,1,1,1,2
11525,11679,2,4,2,2,2,2,2,1
11526,11680,4,4,4,4,4,4,4,4
11527,11681,3,3,3,4,3,4,3,4
11528,11682,2,3,3,2,2,2,2,2
11529,11683,2,2,2,2,2,2,3,3
11530,11684,1,2,1,1,1,1,1,1
11531,11685,1,2,3,2,1,2,1,2
11532,11686,1,1,1,0,1,1,0,1
11533,11687,2,3,2,2,2,2,2,1
11534,11688,3,4,3,3,1,1,1,2
11535,11689,2,2,2,1,2,3,2,2
11536,11690,2,2,1,1,1,0,0,0
11537,11691,3,3,1,1,2,2,2,2
11538,11692,1,3,2,2,0,0,1,2
11539,11693,2,1,1,1,0,1,0,1
11540,11694,1,2,2,1,0,1,1,1
11541,11695,3,4,4,3,2,3,3,2
11542,11696,1,1,1,1,1,0,1,1
11543,11697,2,2,2,3,2,3,3,2
11544,11698,2,1,1,1,2,1,1,1
11545,11699,3,3,3,3,2,2,2,1
11546,11700,2,3,2,2,2,2,3,3
11547,11701,1,2,1,2,3,1,1,2
11548,11702,3,3,2,2,2,2,1,2
11549,11703,3,4,4,4,4,4,3,4
11550,11704,4,4,4,4,3,4,3,3
11551,11705,2,3,3,3,3,3,3,3
11552,11706,3,3,3,3,3,3,3,3
11553,11707,2,2,2,0,1,1,1,2
11554,11708,2,2,2,1,2,1,2,2
11555,11709,2,3,3,2,2,3,3,2
11556,11710,0,1,1,1,2,1,1,1
11557,11711,2,3,2,3,3,3,3,3
11558,11712,1,2,1,2,2,3,2,1
11559,11713,4,4,4,4,4,3,4,3
11560,11714,4,4,4,3,4,4,4,4
11561,11715,2,1,0,2,0,2,1,1
11562,11716,3,3,3,3,3,3,3,3
11563,11717,3,3,3,3,3,3,3,2
11564,11718,3,3,4,4,3,3,3,3
11565,11719,2,2,0,1,2,2,2,1
11566,11720,3,2,2,2,2,2,2,2
11567,11721,2,1,2,1,2,2,2,1
11568,11722,1,1,2,3,1,1,1,1
11569,11723,1,1,1,2,2,2,2,2
11570,11724,3,3,3,3,3,3,3,3
11571,11725,2,1,0,2,2,0,0,0
11572,11726,2,2,2,3,3,3,2,3
11573,11728,2,1,1,2,1,2,2,1
11574,11729,2,2,2,2,2,0,1,1
11575,11730,2,3,2,2,3,3,3,3
11576,11731,2,2,1,2,2,2,1,2
11577,11732,4,4,3,4,4,4,3,4
11578,11733,1,1,1,1,1,1,1,1
11579,11734,0,3,2,1,2,3,2,0
11580,11735,2,1,1,2,2,2,2,2
11581,11736,1,0,1,1,1,2,1,1
11582,11737,4,4,4,4,4,4,4,4
11583,11738,4,3,3,3,3,3,3,3
11584,11739,3,0,2,1,1,2,1,2
11585,11740,3,1,1,2,1,2,1,2
11586,11741,2,1,2,1,1,1,1,1
11587,11742,4,3,3,3,2,3,3,3
11588,11743,1,0,0,0,2,1,1,1
11589,11744,2,2,1,1,0,2,3,3
11590,11745,4,3,4,4,4,4,4,3
11591,11746,0,3,3,2,2,2,2,3
11592,11747,3,3,3,3,2,3,2,3
11593,11748,4,4,4,4,3,4,4,3
11594,11749,4,4,4,4,4,4,4,4
11595,11750,0,0,0,0,0,0,0,0
11596,11751,2,3,2,1,1,1,2,1
11597,11752,2,2,2,2,2,2,2,2
11598,11753,2,2,2,2,3,2,1,1
11599,11754,2,3,1,2,3,2,1,1
11600,11755,3,3,3,3,3,3,3,3
11601,11756,3,4,4,4,4,4,4,4
11602,11757,1,1,2,1,2,2,2,1
11603,11758,1,1,1,1,1,2,0,2
11604,11759,2,2,2,2,2,3,3,2
11605,11760,4,4,4,4,4,4,4,4
11606,11761,2,3,2,2,1,3,2,2
11607,11762,3,3,4,3,3,3,3,3
11608,11763,2,2,0,1,2,1,2,1
11609,11764,2,3,3,3,3,3,3,3
11610,11765,3,3,3,3,2,3,3,3
11611,11766,2,2,2,2,2,2,2,1
11612,11767,2,3,2,3,1,3,3,3
11613,11768,3,3,3,3,2,1,2,3
11614,11769,2,3,3,3,2,2,3,2
11615,11770,3,3,4,3,3,4,3,3
11616,11771,1,1,2,2,2,2,3,2
11617,11772,2,3,2,2,2,2,2,2
11618,11773,1,2,2,1,2,2,1,1
11619,11774,4,4,3,4,4,4,4,3
11620,11775,3,3,4,3,3,3,3,3
11621,11776,3,1,1,2,2,2,1,2
11622,11777,1,2,2,2,2,2,2,2
11623,11778,4,3,3,4,4,4,4,4
11624,11779,3,2,1,2,1,1,3,2
11625,11780,2,2,2,2,2,2,2,2
11626,11781,3,2,2,1,3,2,3,2
11627,11782,3,2,3,3,3,3,3,3
11628,11783,4,4,4,4,4,4,4,4
11629,11784,1,1,1,2,2,1,2,1
11630,11785,1,1,0,1,2,1,2,1
11631,11786,1,0,1,1,1,1,1,1
11632,11787,2,1,2,3,1,2,2,2
11633,11788,3,3,4,4,4,4,4,4
11634,11789,2,3,2,3,3,2,2,2
11635,11790,3,4,4,3,4,3,3,2
11636,11791,3,1,1,1,2,1,1,1
11637,11792,4,4,3,4,4,4,4,4
11638,11793,2,2,3,3,3,3,3,2
11639,11794,2,2,0,2,0,1,0,0
11640,11795,3,3,3,2,2,2,0,2
11641,11796,2,1,1,2,3,2,1,3
11642,11797,2,1,1,1,1,1,1,1
11643,11798,1,2,2,3,3,3,2,3
11644,11799,2,2,2,3,2,2,2,2
11645,11800,4,3,4,4,4,4,4,4
11646,11801,1,2,2,2,2,0,0,0
11647,11802,3,4,2,3,3,3,3,3
11648,11803,1,2,2,2,2,1,1,2
11649,11804,1,0,1,0,0,1,2,1
11650,11805,1,1,1,2,2,1,1,1
11651,11806,1,1,2,1,2,2,1,1
11652,11807,2,3,2,2,3,4,3,3
11653,11808,3,3,1,1,1,1,1,1
11654,11809,2,2,2,2,2,2,1,1
11655,11810,1,2,1,1,1,2,2,1
11656,11811,1,2,2,2,2,2,1,2
11657,11812,1,1,0,3,3,3,3,3
11658,11813,3,3,3,3,2,2,2,3
11659,11814,1,1,2,2,2,1,2,1
11660,11815,3,3,2,3,3,3,2,3
11661,11816,0,3,0,0,0,1,0,0
11662,11817,1,2,3,3,3,2,3,3
11663,11818,4,3,2,3,4,4,4,4
11664,11819,2,3,3,2,3,3,2,2
11665,11820,2,1,1,1,2,2,2,2
11666,11821,1,2,1,2,2,1,1,1
11667,11822,0,2,1,2,1,1,2,0
11668,11823,2,2,3,3,1,2,1,2
11669,11824,1,1,1,1,0,2,0,1
11670,11825,3,2,1,2,2,2,2,2
11671,11826,1,1,2,1,1,1,2,1
11672,11827,3,4,3,3,2,3,3,0
11673,11828,4,3,4,4,4,4,4,4
11674,11829,3,4,4,4,3,4,4,4
11675,11830,2,0,1,1,1,2,1,1
11676,11831,3,2,3,1,2,3,2,1
11677,11832,3,3,0,4,4,1,1,4
11678,11833,2,2,3,4,4,4,3,4
11679,11834,2,3,3,3,3,3,3,1
11680,11835,3,3,4,4,4,3,4,3
11681,11836,4,4,4,3,2,3,4,3
11682,11837,3,4,3,4,4,4,4,4
11683,11838,2,3,3,3,2,3,3,4
11684,11839,1,2,2,2,3,2,2,2
11685,11840,1,0,1,1,0,1,2,1
11686,11841,3,3,3,3,3,3,4,3
11687,11842,1,1,0,0,1,1,1,1
11688,11843,3,3,4,4,3,3,3,4
11689,11844,2,1,2,1,1,1,2,1
11690,11845,2,1,0,2,0,1,1,2
11691,11846,3,2,3,2,2,1,1,2
11692,11847,2,2,2,2,3,2,2,3
11693,11848,1,1,1,0,0,1,0,1
11694,11849,3,3,3,2,3,2,3,3
11695,11850,2,2,2,2,2,2,2,2
11696,11851,2,2,2,2,2,3,1,2
11697,11852,0,2,2,3,2,2,2,2
11698,11853,1,1,2,1,2,0,1,0
11699,11854,2,1,1,1,1,1,1,1
11700,11855,1,1,1,1,1,1,2,1
11701,11856,3,3,3,3,2,3,2,1
11702,11857,1,1,2,1,2,1,1,2
11703,11859,3,2,2,3,3,3,3,3
11704,11860,3,3,3,3,4,4,2,3
11705,11861,3,4,3,3,4,4,3,3
11706,11862,3,3,3,4,4,3,4,4
11707,11863,1,1,1,1,1,1,1,0
11708,11864,1,1,0,0,0,1,0,0
11709,11865,2,2,2,1,1,2,1,1
11710,11866,1,2,2,3,3,3,3,2
11711,11867,2,2,1,2,1,2,1,2
11712,11869,1,2,1,1,1,1,1,1
11713,11870,1,1,1,1,2,2,2,1
11714,11871,2,2,1,2,1,2,2,2
11715,11872,1,1,0,1,2,1,1,1
11716,11873,0,1,2,2,0,3,0,2
11717,11874,2,1,3,1,1,1,0,2
11718,11875,2,0,0,1,1,1,1,0
